Option Type,Underlying Price,Strike Price,Time to Expiry,Risk-Free Interest Rate,Volatility,LTP
CALL,19265.80,20000.00,0.019,10,9.85,1.45
CALL,19265.80,20050.00,0.019,10,10.57,1.40
CALL,19265.80,20100.00,0.019,10,11.22,1.35
CALL,19265.80,20150.00,0.019,10,13.1,2.45
CALL,19265.80,20200.00,0.019,10,12.71,1.30
CALL,19265.80,20250.00,0.019,10,13.23,1.15
CALL,19265.80,20300.00,0.019,10,13.87,1.10
CALL,19265.80,20350.00,0.019,10,14.82,1.15
CALL,19265.80,20400.00,0.019,10,15.29,1.10
CALL,19265.80,20450.00,0.019,10,15.8,0.95
CALL,19265.80,20500.00,0.019,10,16.29,0.95
CALL,19265.80,20550.00,0.019,10,17.07,0.85
CALL,19265.80,20600.00,0.019,10,17.63,0.90
CALL,19265.80,20650.00,0.019,10,18.06,0.90
CALL,19265.80,20700.00,0.019,10,18.84,0.80
CALL,19265.80,20750.00,0.019,10,19.61,1.20
CALL,19265.80,20800.00,0.019,10,19.87,0.80
CALL,19265.80,20850.00,0.019,10,20.51,0.75
CALL,19265.80,20900.00,0.019,10,20.99,0.80
CALL,19265.80,20950.00,0.019,10,21.62,0.70
CALL,19265.80,21000.00,0.019,10,22.4,0.75
CALL,19265.80,21050.00,0.019,10,22.86,0.70
CALL,19265.80,21100.00,0.019,10,23.48,0.70
CALL,19265.80,21150.00,0.019,10,24.1,0.65
